quarter,dollars (millions)
1994-01-01,851
1994-04-01,1114
1994-07-01,893
1994-10-01,883
1995-01-01,868
1995-04-01,1121
1995-07-01,896
1995-10-01,960
1996-01-01,909
1996-04-01,1214
1996-07-01,951
1996-10-01,1012
1997-01-01,999
1997-04-01,1267
1997-07-01,1064
1997-10-01,1114
1998-01-01,1097
1998-04-01,1374
1998-07-01,1101
1998-10-01,1079
1999-01-01,1086
1999-04-01,1324
1999-07-01,1121
1999-10-01,1091
2000-01-01,1104
2000-04-01,1490
2000-07-01,1191
2000-10-01,1111
2001-01-01,1139
2001-04-01,1551
2001-07-01,1204
2001-10-01,1109
2002-01-01,1118
2002-04-01,1377
2002-07-01,1213
2002-10-01,1209
2003-01-01,1158
2003-04-01,1428
2003-07-01,1288
2003-10-01,1282
2004-01-01,1192
2004-04-01,1521
2004-07-01,1310
2004-10-01,1322
2005-01-01,1299
2005-04-01,1707
2005-07-01,1425
2005-10-01,1438
2006-01-01,1435
2006-04-01,1973
2006-07-01,1558
2006-10-01,1553
2007-01-01,1527
2007-04-01,2255
2007-07-01,1630
2007-10-01,1652
2008-01-01,1652
2008-04-01,2237
2008-07-01,1646
2008-10-01,1631
2009-01-01,1469
2009-04-01,1912
2009-07-01,1465
2009-10-01,1544
2010-01-01,1453
2010-04-01,2034
2010-07-01,1611
2010-10-01,1583
2011-01-01,1534
2011-04-01,2086
2011-07-01,1710
2011-10-01,1762
2012-01-01,1635
2012-04-01,2287
2012-07-01,1864
2012-10-01,1924
2013-01-01,1645
2013-04-01,2237
2013-07-01,1763
2013-10-01,1734
2014-01-01,2031
2014-04-01,1940
2014-07-01,1736
2014-10-01,1690
2015-01-01,2076
2015-04-01,2378
2015-07-01,1773
2015-10-01,1802
2016-01-01,2186
2016-04-01,2298
2016-07-01,1769
2016-10-01,1808
2017-01-01,2208
2017-04-01,2368
2017-07-01,1920
2017-10-01,2053
2018-01-01,2620
2018-04-01,2956
2018-07-01,2184
2018-10-01,2092
2019-01-01,2449
2019-04-01,3301
2019-07-01,2239
2019-10-01,2249
2020-01-01,2719
2020-04-01,2452
2020-07-01,2770
2020-10-01,2322
2021-01-01,2865
2021-04-01,3659
2021-07-01,2677
2021-10-01,2600
2022-01-01,3192