year,Employees
1939,367734
1940,388914
1941,439309
1942,482769
1943,511121
1944,504193
1945,486042
1946,500842
1947,527028
1948,539205
1949,526005
1950,543387
1951,575109
1952,586832
1953,603644
1954,589047
1955,608842
1956,629620
1957,635485
1958,617098
1959,640466
1960,651527
1961,649234
1962,667915
1963,681201
1964,700733
1965,730545
1966,768300
1967,791225
1968,816320
1969,846178
1970,852089
1971,855969
1972,885451
1973,922820
1974,940597
1975,924857
1976,954089
1977,991197
1978,1041949
1979,1079226
1980,1086379
1981,1095506
1982,1076215
1983,1083464
1984,1134511
1985,1170344
1986,1193970
1987,1225373
1988,1264504
1989,1296562
1990,1314364
1991,1301229
1992,1305511
1993,1331185
1994,1372608
1995,1408924
1996,1437854
1997,1475176
1998,1513636
1999,1550713
2000,1584214
2001,1584960
2002,1567639
2003,1563933
2004,1581086
2005,1608269
2006,1637208
2007,1655730
2008,1646695
2009,1575466
2010,1564041
2011,1583060
2012,1609879
2013,1636268
2014,1667067
2015,1701651
2016,1731994
2017,1759272
2018,1786778
2019,1810725
2020,1705747
2021,1753224